feature_1,feature_2,pairwise_correlation,abs_correlation,redundancy_verdict
dxy_ret_1d,gold_ret_1d,-0.42496003513524166,0.42496003513524166,INDEPENDENT
sp500_ret_5d,vix_close,-0.3966880670720963,0.3966880670720963,INDEPENDENT
nasdaq_ret_5d,vix_close,-0.3813986042297265,0.3813986042297265,INDEPENDENT
sp500_ret_5d,dxy_ret_5d,-0.35510686341033465,0.35510686341033465,INDEPENDENT
nasdaq_ret_5d,dxy_ret_5d,-0.32623087253474553,0.32623087253474553,INDEPENDENT
sp500_ret_5d,vix_ret_1d,-0.32548530229481565,0.32548530229481565,INDEPENDENT
nasdaq_ret_5d,vix_ret_1d,-0.30107070544385595,0.30107070544385595,INDEPENDENT
vix_close,tnx_10y_close,-0.28557208849002685,0.28557208849002685,INDEPENDENT
vix_close,yield_2y_close,-0.25120030207330696,0.25120030207330696,INDEPENDENT
sp500_ret_1d,dxy_ret_1d,-0.2503450052432748,0.2503450052432748,INDEPENDENT
sp500_ret_1d,vix_close,-0.24282481636415595,0.24282481636415595,INDEPENDENT
dxy_ret_1d,equity_risk_on_1d,-0.24122416445834105,0.24122416445834105,INDEPENDENT
vix_close,equity_risk_on_1d,-0.2358216317149445,0.2358216317149445,INDEPENDENT
vix_close,vix_ret_1d,0.2339157013434328,0.2339157013434328,INDEPENDENT
nasdaq_ret_1d,dxy_ret_1d,-0.22966113059177395,0.22966113059177395,INDEPENDENT
nasdaq_ret_1d,vix_close,-0.22596565360227436,0.22596565360227436,INDEPENDENT
dxy_ret_5d,gold_ret_1d,-0.17365920876385108,0.17365920876385108,INDEPENDENT
sp500_ret_5d,dxy_ret_1d,-0.16538754552686136,0.16538754552686136,INDEPENDENT
sp500_ret_1d,dxy_ret_5d,-0.1532017845092327,0.1532017845092327,INDEPENDENT
dxy_ret_5d,equity_risk_on_1d,-0.15099808847879342,0.15099808847879342,INDEPENDENT
nasdaq_ret_5d,dxy_ret_1d,-0.14683163749054046,0.14683163749054046,INDEPENDENT
nasdaq_ret_1d,dxy_ret_5d,-0.14641316163772183,0.14641316163772183,INDEPENDENT
vix_ret_1d,dxy_ret_1d,0.1336605783651514,0.1336605783651514,INDEPENDENT
sp500_vol_20d,yield_spread_10y_2y,-0.11777821626372197,0.11777821626372197,INDEPENDENT
sp500_vol_20d,dxy_ret_5d,-0.1155183664579988,0.1155183664579988,INDEPENDENT
nasdaq_vol_20d,yield_spread_10y_2y,-0.10506003322980788,0.10506003322980788,INDEPENDENT
vix_close,yield_spread_10y_2y,0.10459199977135715,0.10459199977135715,INDEPENDENT
vix_ret_1d,oil_ret_1d,-0.0980095738847387,0.0980095738847387,INDEPENDENT
nasdaq_vol_20d,dxy_ret_5d,-0.09703986135326428,0.09703986135326428,INDEPENDENT
sp500_ret_1d,gold_ret_1d,0.09681549699367493,0.09681549699367493,INDEPENDENT
gold_ret_1d,equity_risk_on_1d,0.09257111596950848,0.09257111596950848,INDEPENDENT
vix_ret_1d,dxy_ret_5d,0.09124170830254438,0.09124170830254438,INDEPENDENT
sp500_ret_1d,oil_ret_1d,0.08982667082750137,0.08982667082750137,INDEPENDENT
nasdaq_ret_1d,gold_ret_1d,0.08757050618126944,0.08757050618126944,INDEPENDENT
vix_close,dxy_ret_5d,0.07816660434382933,0.07816660434382933,INDEPENDENT
dxy_ret_5d,tnx_10y_close,-0.07246273733394931,0.07246273733394931,INDEPENDENT
sp500_ret_5d,oil_ret_1d,0.07039237087892944,0.07039237087892944,INDEPENDENT
dxy_ret_5d,yield_2y_close,-0.06825975808923947,0.06825975808923947,INDEPENDENT
oil_ret_1d,equity_risk_on_1d,0.06628797811468962,0.06628797811468962,INDEPENDENT
sp500_ret_5d,gold_ret_1d,0.06451490434456125,0.06451490434456125,INDEPENDENT
nasdaq_ret_5d,gold_ret_1d,0.061531938793411206,0.061531938793411206,INDEPENDENT
vix_close,dxy_ret_1d,0.05960193368545336,0.05960193368545336,INDEPENDENT
sp500_vol_20d,vix_ret_1d,-0.057155662835921314,0.057155662835921314,INDEPENDENT
nasdaq_vol_20d,vix_ret_1d,-0.05477678903875641,0.05477678903875641,INDEPENDENT
nasdaq_ret_5d,oil_ret_1d,0.05446138061384733,0.05446138061384733,INDEPENDENT
gold_ret_1d,oil_ret_1d,0.05170453909392769,0.05170453909392769,INDEPENDENT
vix_close,gold_ret_1d,-0.049195250325808494,0.049195250325808494,INDEPENDENT
sp500_vol_20d,tnx_10y_close,-0.04776320148034831,0.04776320148034831,INDEPENDENT
nasdaq_ret_1d,oil_ret_1d,0.0471928107651382,0.0471928107651382,INDEPENDENT
dxy_ret_1d,tnx_10y_close,-0.04705784072237413,0.04705784072237413,INDEPENDENT
vix_ret_1d,gold_ret_1d,-0.04635639932593195,0.04635639932593195,INDEPENDENT
sp500_vol_20d,dxy_ret_1d,-0.043344009030610454,0.043344009030610454,INDEPENDENT
dxy_ret_1d,yield_2y_close,-0.039327098247296154,0.039327098247296154,INDEPENDENT
tnx_10y_close,gold_ret_1d,0.03882958259113885,0.03882958259113885,INDEPENDENT
dxy_ret_5d,yield_spread_10y_2y,0.03776981067974983,0.03776981067974983,INDEPENDENT
yield_spread_10y_2y,oil_ret_1d,0.0374243713438302,0.0374243713438302,INDEPENDENT
nasdaq_vol_20d,dxy_ret_1d,-0.03704874965054867,0.03704874965054867,INDEPENDENT
nasdaq_vol_20d,tnx_10y_close,-0.035165853719418876,0.035165853719418876,INDEPENDENT
yield_2y_close,gold_ret_1d,0.03491007073574222,0.03491007073574222,INDEPENDENT
yield_2y_close,oil_ret_1d,-0.0323306773683827,0.0323306773683827,INDEPENDENT
nasdaq_ret_5d,yield_2y_close,0.03093853205811748,0.03093853205811748,INDEPENDENT
nasdaq_ret_5d,tnx_10y_close,0.03001777619008838,0.03001777619008838,INDEPENDENT
sp500_ret_1d,sp500_vol_20d,0.028989463563939638,0.028989463563939638,INDEPENDENT
sp500_vol_20d,equity_risk_on_1d,0.025301015533714073,0.025301015533714073,INDEPENDENT
tnx_10y_close,oil_ret_1d,-0.02358694209908569,0.02358694209908569,INDEPENDENT
nasdaq_vol_20d,sp500_ret_1d,0.02357917523753274,0.02357917523753274,INDEPENDENT
nasdaq_ret_5d,yield_spread_10y_2y,-0.022261466569406026,0.022261466569406026,INDEPENDENT
nasdaq_ret_1d,sp500_vol_20d,0.022020735159194248,0.022020735159194248,INDEPENDENT
dxy_ret_1d,oil_ret_1d,-0.021409947745205226,0.021409947745205226,INDEPENDENT
nasdaq_ret_5d,nasdaq_vol_20d,-0.018688736431780165,0.018688736431780165,INDEPENDENT
nasdaq_vol_20d,equity_risk_on_1d,0.018641284608059985,0.018641284608059985,INDEPENDENT
nasdaq_vol_20d,yield_2y_close,0.01652313674293414,0.01652313674293414,INDEPENDENT
yield_spread_10y_2y,gold_ret_1d,-0.01609551149656166,0.01609551149656166,INDEPENDENT
vix_ret_1d,yield_spread_10y_2y,0.01473325256942608,0.01473325256942608,INDEPENDENT
nasdaq_ret_1d,nasdaq_vol_20d,0.014544060183140712,0.014544060183140712,INDEPENDENT
sp500_vol_20d,yield_2y_close,0.012416050310408827,0.012416050310408827,INDEPENDENT
dxy_ret_1d,yield_spread_10y_2y,0.012098662000153696,0.012098662000153696,INDEPENDENT
sp500_ret_5d,sp500_vol_20d,0.011194159847580239,0.011194159847580239,INDEPENDENT
nasdaq_ret_1d,tnx_10y_close,0.010104680857634224,0.010104680857634224,INDEPENDENT
nasdaq_ret_1d,yield_2y_close,0.00766855562817738,0.00766855562817738,INDEPENDENT
dxy_ret_5d,oil_ret_1d,0.007575007587550972,0.007575007587550972,INDEPENDENT
vix_ret_1d,yield_2y_close,-0.007048213847354309,0.007048213847354309,INDEPENDENT
sp500_ret_1d,yield_spread_10y_2y,0.007024998503976455,0.007024998503976455,INDEPENDENT
tnx_10y_close,equity_risk_on_1d,0.006022527921988963,0.006022527921988963,INDEPENDENT
sp500_ret_5d,tnx_10y_close,0.004493176977250871,0.004493176977250871,INDEPENDENT
nasdaq_ret_5d,sp500_vol_20d,-0.004054363997553553,0.004054363997553553,INDEPENDENT
sp500_ret_5d,yield_spread_10y_2y,0.0036068460522159862,0.0036068460522159862,INDEPENDENT
nasdaq_vol_20d,gold_ret_1d,0.0034406774648681046,0.0034406774648681046,INDEPENDENT
yield_2y_close,equity_risk_on_1d,0.003333795039516156,0.003333795039516156,INDEPENDENT
nasdaq_vol_20d,sp500_ret_5d,0.00331491894595435,0.00331491894595435,INDEPENDENT
yield_spread_10y_2y,equity_risk_on_1d,0.0026748384764643095,0.0026748384764643095,INDEPENDENT
sp500_ret_1d,yield_2y_close,-0.002478903104912608,0.002478903104912608,INDEPENDENT
vix_close,oil_ret_1d,0.0020637337543667786,0.0020637337543667786,INDEPENDENT
sp500_ret_5d,yield_2y_close,0.0018388835440455715,0.0018388835440455715,INDEPENDENT
vix_ret_1d,tnx_10y_close,-0.001529321492324768,0.001529321492324768,INDEPENDENT
nasdaq_ret_1d,yield_spread_10y_2y,-0.0006691245952681317,0.0006691245952681317,INDEPENDENT
sp500_ret_1d,tnx_10y_close,0.00047497095290031363,0.00047497095290031363,INDEPENDENT
sp500_vol_20d,gold_ret_1d,0.0004287809266012555,0.0004287809266012555,INDEPENDENT
nasdaq_vol_20d,oil_ret_1d,0.00036207948520771115,0.00036207948520771115,INDEPENDENT
sp500_vol_20d,oil_ret_1d,-0.00011160329783504514,0.00011160329783504514,INDEPENDENT
